turno,voto_nome,escola,voto_qtd,percentual_votos
1,Cabo Daciolo,Coronel,4,2.3391812865497075
1,Cabo Daciolo,EELAS,5,2.923976608187134
1,Cabo Daciolo,ETEC,12,7.017543859649122
1,Cabo Daciolo,Ferrari,7,4.093567251461988
1,Cabo Daciolo,Ivonete,4,2.3391812865497075
1,Cabo Daciolo,JAP,16,9.35672514619883
1,Cabo Daciolo,Koei Arakaki,5,2.923976608187134
1,Cabo Daciolo,Pedro Malavazzi,11,6.432748538011696
1,Cabo Daciolo,Saturnino,16,9.35672514619883
1,Cabo Daciolo,Sesi,8,4.678362573099415
1,Cabo Daciolo,Tanuri,9,5.263157894736842
1,Ciro Gomes,Andreo,166,6.159554730983302
1,Ciro Gomes,Barbosa Lima,96,3.5621521335807054
1,Ciro Gomes,Barozi,168,6.233766233766234
1,Ciro Gomes,Belucio,151,5.602968460111317
1,Ciro Gomes,Brasitânia,28,1.0389610389610389
1,Ciro Gomes,Cafaro,199,7.38404452690167
1,Ciro Gomes,Coronel,281,10.426716141001856
1,Ciro Gomes,EELAS,107,3.970315398886828
1,Ciro Gomes,ETEC,174,6.456400742115028
1,Ciro Gomes,Ferrari,136,5.046382189239332
1,Ciro Gomes,Ivonete,204,7.569573283858998
1,Ciro Gomes,JAP,269,9.981447124304268
1,Ciro Gomes,Koei Arakaki,74,2.74582560296846
1,Ciro Gomes,Pedro Malavazzi,103,3.821892393320965
1,Ciro Gomes,Saturnino,228,8.460111317254174
1,Ciro Gomes,Sesi,196,7.2727272727272725
1,Ciro Gomes,Tanuri,115,4.267161410018553
1,Eymael,Andreo,2,11.76470588235294
1,Eymael,Barbosa Lima,2,11.76470588235294
1,Eymael,Barozi,1,5.88235294117647
1,Eymael,Belucio,1,5.88235294117647
1,Eymael,Coronel,2,11.76470588235294
1,Eymael,Ivonete,1,5.88235294117647
1,Eymael,JAP,3,17.647058823529413
1,Eymael,Koei Arakaki,2,11.76470588235294
1,Eymael,Sesi,2,11.76470588235294
1,Eymael,Tanuri,1,5.88235294117647
1,Fernando Haddad,Andreo,435,7.93361298559183
1,Fernando Haddad,Barbosa Lima,423,7.714754696334124
1,Fernando Haddad,Barozi,463,8.444282327193143
1,Fernando Haddad,Belucio,371,6.766368776217399
1,Fernando Haddad,Brasitânia,158,2.8816341418931244
1,Fernando Haddad,Cafaro,293,5.3437898960423125
1,Fernando Haddad,Coronel,215,3.9212110158672258
1,Fernando Haddad,EELAS,160,2.9181105234360754
1,Fernando Haddad,ETEC,238,4.340689403611162
1,Fernando Haddad,Ferrari,254,4.632500455954769
1,Fernando Haddad,Ivonete,338,6.164508480758709
1,Fernando Haddad,JAP,418,7.623563742476747
1,Fernando Haddad,Koei Arakaki,129,2.3527266095203356
1,Fernando Haddad,Pedro Malavazzi,395,7.20408535473281
1,Fernando Haddad,Saturnino,496,9.046142622651834
1,Fernando Haddad,Sesi,270,4.924311508298377
1,Fernando Haddad,Tanuri,427,7.787707459420025
1,Geraldo Alckmin,Andreo,223,6.587887740029543
1,Geraldo Alckmin,Barbosa Lima,203,5.997045790251108
1,Geraldo Alckmin,Barozi,266,7.8581979320531765
1,Geraldo Alckmin,Belucio,199,5.878877400295421
1,Geraldo Alckmin,Brasitânia,59,1.742983751846381
1,Geraldo Alckmin,Cafaro,220,6.499261447562777
1,Geraldo Alckmin,Coronel,204,6.026587887740029
1,Geraldo Alckmin,EELAS,181,5.34711964549483
1,Geraldo Alckmin,ETEC,142,4.194977843426884
1,Geraldo Alckmin,Ferrari,171,5.051698670605613
1,Geraldo Alckmin,Ivonete,296,8.744460856720828
1,Geraldo Alckmin,JAP,289,8.537666174298375
